ITEM_ID,CATEGORY,STYLE
36,electronics,headphones
49,footwear,boot
33,accessories,bag
22,housewares,consumable
18,apparel,scarf
50,apparel,jacket
16,outdoors,fishing
40,outdoors,fishing
2,apparel,shirt
13,footwear,sneaker
54,electronics,headphones
8,outdoors,pet
48,outdoors,fishing
9,accessories,bag
1,accessories,bag
31,jewelry,bracelet
6,housewares,consumable
38,housewares,consumable
28,electronics,speaker
53,beauty,grooming
30,housewares,kitchen
35,beauty,grooming
52,jewelry,earrings
24,outdoors,fishing
27,beauty,bathing
5,footwear,sneaker
4,electronics,wearable
44,electronics,speaker
32,outdoors,fishing
41,accessories,bag
51,housewares,bowls
34,apparel,jacket
23,jewelry,bracelet
46,housewares,appliance
19,beauty,grooming
26,apparel,shirt
55,accessories,bag
7,jewelry,bracelet
56,outdoors,fishing
11,beauty,grooming
3,beauty,grooming
20,electronics,speaker
39,jewelry,necklace
45,footwear,sneaker
37,footwear,sneaker
29,footwear,sneaker
21,footwear,sneaker
25,accessories,bag
12,electronics,cable
17,accessories,bag
10,apparel,shirt
47,jewelry,bracelet
15,jewelry,bracelet
42,apparel,socks
43,beauty,grooming
14,housewares,consumable
